Incident ID,Year,Publishing Agency Name,Publishing Agency Unit,Agency Type Name,State Abbreviation,State Name,Division Name,Region Name,Incident Date,Offender Race,Offender Ethnicity,Victim Count,Offense Name,Total Individual Victims,Location Name,Bias Description,Victim Types,Multiple Offense,Multiple Bias
4501,1991,Seattle,,City,WA,Washington,Pacific,West,1991-01-11,Black or African American,Not Specified,2,Intimidation,2,Convenience Store,Anti-Asian,Individual,S,S
832,1991,St. Paul,,City,MN,Minnesota,West North Central,Midwest,1991-01-13,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0,Residence/Home,Anti-Asian,Government,S,S
276,1991,Moscow,,City,ID,Idaho,Mountain,West,1991-01-14,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
3525,1991,East Orange,,City,NJ,New Jersey,Middle Atlantic,Northeast,1991-01-20,Black or African American,Not Specified,1,Intimidation,1,Grocery/Supermarket,Anti-Asian,Individual,S,S
3716,1991,Lincoln Park,,City,NJ,New Jersey,Middle Atlantic,Northeast,1991-01-21,Black or African American,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
4477,1991,Bensalem Township,,City,PA,Pennsylvania,Middle Atlantic,Northeast,1991-01-23,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Other/Unknown,Anti-Asian,Individual,S,S
4293,1991,Portland,,City,OR,Oregon,Pacific,West,1991-01-23,White,Not Specified,6,Aggravated Assault;Burglary/Breaking & Entering,3,Residence/Home,Anti-Asian,Individual,M,S
3372,1991,West New York,,City,NJ,New Jersey,Middle Atlantic,Northeast,1991-01-26,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0,Convenience Store,Anti-Asian,Business,S,S
3214,1991,Prince George's County Police Department,,County,MD,Maryland,South Atlantic,South,1991-01-27,White,Not Specified,3,Destruction/Damage/Vandalism of Property;Intimidation,2,Residence/Home,Anti-Asian,Individual,M,S
53,1991,Denver,,City,CO,Colorado,Mountain,West,1991-02-01,Unknown,Not Specified,1,Intimidation,1,School/College,Anti-Asian,Individual,S,S
3151,1991,Charles,,County,MD,Maryland,South Atlantic,South,1991-02-02,White,Not Specified,1,Destruction/Damage/Vandalism of Property,0,Service/Gas Station,Anti-Asian,Business,S,S
3667,1991,Edison Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,1991-02-03,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
4306,1991,Portland,,City,OR,Oregon,Pacific,West,1991-02-03,Black or African American,Not Specified,1,Rape,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
3578,1991,St. Cloud,,City,MN,Minnesota,West North Central,Midwest,1991-02-08,White,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
3232,1991,Springfield,,City,MA,Massachusetts,New England,Northeast,1991-02-09,White,Not Specified,2,Aggravated Assault,2,Other/Unknown,Anti-Asian,Individual,S,S
2956,1991,Denison,,City,IA,Iowa,West North Central,Midwest,1991-02-10,White,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
4255,1991,Multnomah,,County,OR,Oregon,Pacific,West,1991-02-23,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
967,1991,Springfield,,City,MO,Missouri,West North Central,Midwest,1991-02-28,White,Not Specified,1,Simple Assault,1,Residence/Home,Anti-Asian,Individual,S,S
